OBJECTID,SITE_CODE,SITE_NAME,AC,TIPO,HECTAREAS,Shape_Leng,Shape_Area
1,ES0000001,Illas Cíes,GALICIA,C,996.148820686,22175.3137509,9961488.20686
2,ES1110001,Ortigueira - Mera,GALICIA,B,3881.66273328,111110.839742,38816627.3328
3,ES1110002,Costa Ártabra,GALICIA,B,7576.33873914,312659.782541,75763387.3914
4,ES1110003,Fragas do Eume,GALICIA,B,9162.41538289,120248.370851,91624153.8289
5,ES1110004,Encoro de Abegondo - Cecebre,GALICIA,B,530.905245874,42603.015147,5309052.45874
6,ES1110005,Costa da Morte,GALICIA,B,11880.7471731,441557.787536,118807471.731
7,ES1110006,Complexo húmido de Corrubedo,GALICIA,B,9319.11728899,97725.502761,93191172.8899
8,ES1110007,Betanzos - Mandeo,GALICIA,B,1024.43912903,102296.229847,10244391.2903
9,ES1110008,Carnota - Monte Pindo,GALICIA,B,4702.64375494,89848.973323,47026437.5494
10,ES1110009,Costa de Dexo,GALICIA,B,348.094481572,25142.0496419,3480944.81572
11,ES1110010,Estaca de Bares,GALICIA,B,854.342631472,48265.9800839,8543426.31472
12,ES1110011,Esteiro do Tambre,GALICIA,B,1590.58339629,63191.1674394,15905833.9629
13,ES1110012,Monte e lagoa de Louro,GALICIA,B,1102.52605398,33018.4488299,11025260.5398
14,ES1110013,Xubia - Castro,GALICIA,B,2082.45481103,88143.4142564,20824548.1103
15,ES1110014,Serra do Careón,GALICIA,B,6687.33349641,110337.683019,66873334.9641
16,ES1110015,Río Anllóns,GALICIA,B,162.865413172,90439.0869147,1628654.13172
17,ES1110016,Río Tambre,GALICIA,B,585.997776558,333831.639705,5859977.76558
18,ES1120001,Ancares - Courel,GALICIA,B,102852.654037,450267.629878,1028526540.37
19,ES1120002,Río Eo,GALICIA,B,984.136022719,300546.896285,9841360.22719
20,ES1120003,Parga - Ladra - Támoga,GALICIA,B,4955.07073793,542309.131944,49550707.3793
21,ES1120004,A Marronda,GALICIA,B,1242.07306916,38993.3613734,12420730.6916
22,ES1120005,As Catedrais,GALICIA,B,298.102709413,42012.8055906,2981027.09413
23,ES1120006,Carballido,GALICIA,B,4838.53548905,185234.293025,48385354.8905
24,ES1120007,Cruzul - Agüeira,GALICIA,B,653.095498128,74463.324144,6530954.98128
25,ES1120008,Monte Faro,GALICIA,B,2999.36423947,39894.7995805,29993642.3947
26,ES1120009,Monte Maior,GALICIA,B,1250.79812799,26663.1185597,12507981.2799
27,ES1120010,Negueira,GALICIA,B,4554.95263102,37196.3484799,45549526.3102
28,ES1120011,Ría de Foz - Masma,GALICIA,B,644.771567017,90845.4729377,6447715.67017
29,ES1120012,Río Landro,GALICIA,B,127.585846511,46049.8927969,1275858.46511
30,ES1120013,Río Ouro,GALICIA,B,109.206160404,53057.4530014,1092061.60404
31,ES1120014,Canón do Sil,GALICIA,B,5933.41192043,101582.858118,59334119.2043
32,ES1120015,Serra do Xistral,GALICIA,B,23033.7508986,209732.856173,230337508.986
33,ES1120016,Río Cabe,GALICIA,B,1791.92794214,216613.271688,17919279.4214
